postcode,zone_name,country_code
2000,Sydney Prospect,AU
2001,Sydney Prospect,AU
2002,Sydney Prospect,AU
2003,Sydney Prospect,AU
2004,Sydney Prospect,AU
2005,Sydney Prospect,AU
2006,Sydney Prospect,AU
2007,Sydney Prospect,AU
2008,Sydney Prospect,AU
2009,Sydney Prospect,AU
2010,Sydney Prospect,AU
2011,Sydney Prospect,AU
2012,Sydney Prospect,AU
2013,Sydney Prospect,AU
2014,Sydney Prospect,AU
2015,Sydney Prospect,AU
2016,Sydney Prospect,AU
2017,Sydney Prospect,AU
2018,Sydney Prospect,AU
2019,Sydney Prospect,AU
2020,Sydney Prospect,AU
2021,Sydney Prospect,AU
2022,Sydney Prospect,AU
2023,Sydney Prospect,AU
2024,Sydney Prospect,AU
2025,Sydney Prospect,AU
2026,Sydney Prospect,AU
2027,Sydney Prospect,AU
2028,Sydney Prospect,AU
2029,Sydney Prospect,AU
2030,Sydney Prospect,AU
2031,Sydney Prospect,AU
2032,Sydney Prospect,AU
2033,Sydney Prospect,AU
2034,Sydney Prospect,AU
2035,Sydney Prospect,AU
2036,Sydney Prospect,AU
2037,Sydney Prospect,AU
2038,Sydney Prospect,AU
2039,Sydney Prospect,AU
2040,Sydney Prospect,AU
2041,Sydney Prospect,AU
2042,Sydney Prospect,AU
2043,Sydney Prospect,AU
2044,Sydney Prospect,AU
2045,Sydney Prospect,AU
2046,Sydney Prospect,AU
2047,Sydney Prospect,AU
2048,Sydney Prospect,AU
2049,Sydney Prospect,AU
2050,Sydney Prospect,AU
2051,Sydney Prospect,AU
2052,Sydney Prospect,AU
2053,Sydney Prospect,AU
2054,Sydney Prospect,AU
2055,Sydney Prospect,AU
2056,Sydney Prospect,AU
2057,Sydney Prospect,AU
2058,Sydney Prospect,AU
2059,Sydney Prospect,AU
2060,Sydney Prospect,AU
2061,Sydney Prospect,AU
2062,Sydney Prospect,AU
2063,Sydney Prospect,AU
2064,Sydney Prospect,AU
2065,Sydney Prospect,AU
2066,Sydney Prospect,AU
2067,Sydney Prospect,AU
2068,Sydney Prospect,AU
2069,Sydney Prospect,AU
2070,Sydney Prospect,AU
2071,Sydney Prospect,AU
2072,Sydney Prospect,AU
2073,Sydney Prospect,AU
2074,Sydney Prospect,AU
2075,Sydney Prospect,AU
2076,Sydney Prospect,AU
2077,Sydney Prospect,AU
2078,Sydney Prospect,AU
2079,Sydney Prospect,AU
2080,Sydney Prospect,AU
2081,Sydney Prospect,AU
2082,Sydney Prospect,AU
2083,Sydney Prospect,AU
2084,Sydney Prospect,AU
2085,Sydney Prospect,AU
2086,Sydney Prospect,AU
2087,Sydney Prospect,AU
2088,Sydney Prospect,AU
2089,Sydney Prospect,AU
2090,Sydney Prospect,AU
2091,Sydney Prospect,AU
2092,Sydney Prospect,AU
2093,Sydney Prospect,AU
2094,Sydney Prospect,AU
2095,Sydney Prospect,AU
2096,Sydney Prospect,AU
2097,Sydney Prospect,AU
2098,Sydney Prospect,AU
2099,Sydney Prospect,AU
2100,Sydney Prospect,AU
2101,Sydney Prospect,AU
2102,Sydney Prospect,AU
2103,Sydney Prospect,AU
2104,Sydney Prospect,AU
2105,Sydney Prospect,AU
2106,Sydney Prospect,AU
2107,Sydney Prospect,AU
2108,Sydney Prospect,AU
2109,Sydney Prospect,AU
2110,Sydney Prospect,AU
2111,Sydney Prospect,AU
2112,Sydney Prospect,AU
2113,Sydney Prospect,AU
2114,Sydney Prospect,AU
2115,Sydney Prospect,AU
2116,Sydney Prospect,AU
2117,Sydney Prospect,AU
2118,Sydney Prospect,AU
2119,Sydney Prospect,AU
2120,Sydney Prospect,AU
2121,Sydney Prospect,AU
2122,Sydney Prospect,AU
2123,Sydney Prospect,AU
2124,Sydney Prospect,AU
2125,Sydney Prospect,AU
2126,Sydney Prospect,AU
2127,Sydney Prospect,AU
2128,Sydney Prospect,AU
2129,Sydney Prospect,AU
2130,Sydney Prospect,AU
2131,Sydney Prospect,AU
2132,Sydney Prospect,AU
2133,Sydney Prospect,AU
2134,Sydney Prospect,AU
2135,Sydney Prospect,AU
2136,Sydney Prospect,AU
2137,Sydney Prospect,AU
2138,Sydney Prospect,AU
2139,Sydney Prospect,AU
2140,Sydney Prospect,AU
2141,Sydney Prospect,AU
2142,Sydney Prospect,AU
2143,Sydney Prospect,AU
2144,Sydney Prospect,AU
2145,Sydney Prospect,AU
2146,Sydney Prospect,AU
2147,Sydney Prospect,AU
2148,Sydney Prospect,AU
2149,Sydney Prospect,AU
2150,Sydney Prospect,AU
2151,Sydney Prospect,AU
2152,Sydney Prospect,AU
2153,Sydney Prospect,AU
2154,Sydney Prospect,AU
2155,Sydney Prospect,AU
2156,Sydney Prospect,AU
2157,Sydney Prospect,AU
2158,Sydney Prospect,AU
2159,Sydney Prospect,AU
2160,Sydney Prospect,AU
2161,Sydney Prospect,AU
2162,Sydney Prospect,AU
2163,Sydney Prospect,AU
2164,Sydney Prospect,AU
2165,Sydney Prospect,AU
2166,Sydney Prospect,AU
2167,Sydney Prospect,AU
2168,Sydney Prospect,AU
2169,Sydney Prospect,AU
2170,Sydney Prospect,AU
2171,Sydney Prospect,AU
2172,Sydney Prospect,AU
2173,Sydney Prospect,AU
2174,Sydney Prospect,AU
2175,Sydney Prospect,AU
2176,Sydney Prospect,AU
2177,Sydney Prospect,AU
2178,Sydney Prospect,AU
2179,Sydney Prospect,AU
2180,Sydney Prospect,AU
2181,Sydney Prospect,AU
2182,Sydney Prospect,AU
2183,Sydney Prospect,AU
2184,Sydney Prospect,AU
2185,Sydney Prospect,AU
2186,Sydney Prospect,AU
2187,Sydney Prospect,AU
2188,Sydney Prospect,AU
2189,Sydney Prospect,AU
2190,Sydney Prospect,AU
2191,Sydney Prospect,AU
2192,Sydney Prospect,AU
2193,Sydney Prospect,AU
2194,Sydney Prospect,AU
2195,Sydney Prospect,AU
2196,Sydney Prospect,AU
2197,Sydney Prospect,AU
2198,Sydney Prospect,AU
2199,Sydney Prospect,AU
2200,Sydney Prospect,AU
2201,Sydney Prospect,AU
2202,Sydney Prospect,AU
2203,Sydney Prospect,AU
2204,Sydney Prospect,AU
2205,Sydney Prospect,AU
2206,Sydney Prospect,AU
2207,Sydney Prospect,AU
2208,Sydney Prospect,AU
2209,Sydney Prospect,AU
2210,Sydney Prospect,AU
2211,Sydney Prospect,AU
2212,Sydney Prospect,AU
2213,Sydney Prospect,AU
2214,Sydney Prospect,AU
2215,Sydney Prospect,AU
2216,Sydney Prospect,AU
2217,Sydney Prospect,AU
2218,Sydney Prospect,AU
2219,Sydney Prospect,AU
2220,Sydney Prospect,AU
2221,Sydney Prospect,AU
2222,Sydney Prospect,AU
2223,Sydney Prospect,AU
2224,Sydney Prospect,AU
2225,Sydney Prospect,AU
2226,Sydney Prospect,AU
2227,Sydney Prospect,AU
2228,Sydney Prospect,AU
2229,Sydney Prospect,AU
2230,Sydney Prospect,AU
2231,Sydney Prospect,AU
2232,Sydney Prospect,AU
2233,Sydney Prospect,AU
2234,Sydney Prospect,AU
2235,Sydney Prospect,AU
2236,Sydney Prospect,AU
2237,Sydney Prospect,AU
2238,Sydney Prospect,AU
2239,Sydney Prospect,AU
2240,Sydney Prospect,AU
2241,Sydney Prospect,AU
2242,Sydney Prospect,AU
2243,Sydney Prospect,AU
2244,Sydney Prospect,AU
2245,Sydney Prospect,AU
2246,Sydney Prospect,AU
2247,Sydney Prospect,AU
2248,Sydney Prospect,AU
2249,Sydney Prospect,AU
2250,Sydney metropolitan average,AU
2251,Sydney metropolitan average,AU
2252,Sydney metropolitan average,AU
2253,Sydney metropolitan average,AU
2254,Sydney metropolitan average,AU
2255,Sydney metropolitan average,AU
2256,Sydney metropolitan average,AU
2257,Sydney metropolitan average,AU
2258,Sydney metropolitan average,AU
2259,Sydney metropolitan average,AU
2260,Sydney metropolitan average,AU
2261,Sydney metropolitan average,AU
2262,Sydney metropolitan average,AU
2263,Sydney metropolitan average,AU
2555,Sydney Prospect,AU
2556,Sydney Prospect,AU
2557,Sydney Prospect,AU
2558,Sydney Prospect,AU
2559,Sydney Prospect,AU
2560,Sydney Prospect,AU
2561,Sydney Prospect,AU
2562,Sydney Prospect,AU
2563,Sydney Prospect,AU
2564,Sydney Prospect,AU
2565,Sydney Prospect,AU
2566,Sydney Prospect,AU
2567,Sydney Prospect,AU
2568,Sydney Prospect,AU
2569,Sydney Prospect,AU
2570,Sydney Prospect,AU
2571,Sydney Prospect,AU
2572,Sydney Prospect,AU
2573,Sydney Prospect,AU
2574,Sydney Prospect,AU
2745,Sydney Nepean,AU
2746,Sydney Nepean,AU
2747,Sydney Nepean,AU
2748,Sydney Nepean,AU
2749,Sydney Nepean,AU
2750,Sydney Nepean,AU
2751,Sydney Nepean,AU
2752,Sydney Nepean,AU
2753,Sydney Nepean,AU
2754,Sydney Nepean,AU
2755,Sydney Nepean,AU
2756,Sydney Nepean,AU
2757,Sydney Nepean,AU
2758,Sydney Nepean,AU
2759,Sydney Nepean,AU
2760,Sydney Nepean,AU
2761,Sydney Nepean,AU
2762,Sydney Nepean,AU
2763,Sydney Nepean,AU
2764,Sydney Nepean,AU
2765,Sydney Nepean,AU
2766,Sydney Nepean,AU
2767,Sydney Nepean,AU
2768,Sydney Nepean,AU
2769,Sydney Nepean,AU
2770,Sydney Nepean,AU
2771,Sydney Nepean,AU
2772,Sydney Nepean,AU
2773,Sydney Nepean,AU
2774,Sydney Nepean,AU
2775,Sydney Nepean,AU
2776,Sydney Nepean,AU
2777,Sydney Nepean,AU
2778,Sydney Nepean,AU
2779,Sydney Nepean,AU
2780,Sydney Nepean,AU
2781,Sydney Nepean,AU
2782,Sydney Nepean,AU
2783,Sydney Nepean,AU
2784,Sydney Nepean,AU
2785,Sydney Nepean,AU
2786,Sydney Nepean,AU
2500,Sydney Illawarra,AU
2501,Sydney Illawarra,AU
2502,Sydney Illawarra,AU
2503,Sydney Illawarra,AU
2504,Sydney Illawarra,AU
2505,Sydney Illawarra,AU
2506,Sydney Illawarra,AU
2507,Sydney Illawarra,AU
2508,Sydney Illawarra,AU
2509,Sydney Illawarra,AU
2510,Sydney Illawarra,AU
2511,Sydney Illawarra,AU
2512,Sydney Illawarra,AU
2513,Sydney Illawarra,AU
2514,Sydney Illawarra,AU
2515,Sydney Illawarra,AU
2516,Sydney Illawarra,AU
2517,Sydney Illawarra,AU
2518,Sydney Illawarra,AU
2519,Sydney Illawarra,AU
2520,Sydney Illawarra,AU
2521,Sydney Illawarra,AU
2522,Sydney Illawarra,AU
2523,Sydney Illawarra,AU
2524,Sydney Illawarra,AU
2525,Sydney Illawarra,AU
2526,Sydney Illawarra,AU
2527,Sydney Illawarra,AU
2528,Sydney Illawarra,AU
2529,Sydney Illawarra,AU
2530,Sydney Illawarra,AU
2531,Sydney Illawarra,AU
2532,Sydney Illawarra,AU
2533,Sydney Illawarra,AU
2534,Sydney Illawarra,AU
2535,Sydney Illawarra,AU
2280,Hunter Grahamstown,AU
2281,Hunter Grahamstown,AU
2282,Hunter Grahamstown,AU
2283,Hunter Grahamstown,AU
2284,Hunter Grahamstown,AU
2285,Hunter Grahamstown,AU
2286,Hunter Grahamstown,AU
2287,Hunter Grahamstown,AU
2288,Hunter Grahamstown,AU
2289,Hunter Grahamstown,AU
2290,Hunter Grahamstown,AU
2291,Hunter Grahamstown,AU
2292,Hunter Grahamstown,AU
2293,Hunter Grahamstown,AU
2294,Hunter Grahamstown,AU
2295,Hunter Grahamstown,AU
2296,Hunter Grahamstown,AU
2297,Hunter Grahamstown,AU
2298,Hunter Grahamstown,AU
2299,Hunter Grahamstown,AU
2300,Hunter Grahamstown,AU
2301,Hunter Grahamstown,AU
2302,Hunter Grahamstown,AU
2303,Hunter Grahamstown,AU
2304,Hunter Grahamstown,AU
2305,Hunter Grahamstown,AU
2306,Hunter Grahamstown,AU
2307,Hunter Grahamstown,AU
2308,Hunter Grahamstown,AU
2309,Hunter Grahamstown,AU
